,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo,scoring_index,scoring_type,selection_prob,selection_index,selection_type
38,41364-71806:Kaden Smith,41364-21980:Alshon Jeffery,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,60000,539,13.5,15,15,10,18,0.0,25,0,0,25,0.0,5,0,0,10,71.5,50.0,15.0,801,manfppg,0.0010451505016722408,38,mvp_prob
39,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-83074:Dallas Goedert,57500,15976,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,808,manfppg,0.000454793523740222,39,mvp_prob
40,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-41235:Jake Elliott,58000,10325,22.5,15,15,10,9,37.5,0,0,0,0,7.5,0,0,0,0,71.5,37.5,7.5,818,manfppg,0.0005434782608695652,40,mvp_prob
41,41364-64401:Saquon Barkley,41364-29780:Zach Ertz,41364-6826:Eli Manning,41364-63819:Darius Slayton,41364-71806:Kaden Smith,58500,13895,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,820,manfppg,0.0004918355301987016,41,mvp_prob
42,41364-6826:Eli Manning,41364-29780:Zach Ertz,41364-64401:Saquon Barkley,41364-63819:Darius Slayton,41364-71806:Kaden Smith,58500,13897,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,822,manfppg,0.000454793523740222,42,mvp_prob
43,41364-6826:Eli Manning,41364-64401:Saquon Barkley,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-83074:Dallas Goedert,57000,15996,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,823,manfppg,0.000454793523740222,43,mvp_prob
44,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-21980:Alshon Jeffery,41364-63819:Darius Slayton,41364-70496:Aldrick Rosas,57500,11142,22.5,15,15,10,9,0.0,0,25,0,0,0.0,0,5,0,0,71.5,25.0,5.0,875,manfppg,0.0003697131026323573,44,mvp_prob
45,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,59500,4784,13.5,15,15,10,18,0.0,0,0,0,25,0.0,0,0,0,10,71.5,25.0,10.0,863,manfppg,0.001358695652173913,45,mvp_prob
46,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-21980:Alshon Jeffery,41364-27477:Sterling Shepard,41364-41235:Jake Elliott,58500,11092,22.5,15,15,10,9,0.0,0,25,0,0,0.0,0,5,0,0,71.5,25.0,5.0,866,manfppg,0.0003697131026323573,46,mvp_prob
47,41364-29780:Zach Ertz,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-63819:Darius Slayton,41364-41235:Jake Elliott,59000,18175,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,878,manfppg,0.0004963271788763153,47,mvp_prob
48,41364-71845:Miles Sanders,41364-29780:Zach Ertz,41364-6826:Eli Manning,41364-27477:Sterling Shepard,41364-71806:Kaden Smith,58500,18151,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,881,manfppg,0.0004454739843193157,48,mvp_prob
49,41364-6826:Eli Manning,41364-21980:Alshon Jeffery,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-70496:Aldrick Rosas,57500,11141,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,883,manfppg,0.000454793523740222,49,mvp_prob
50,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-41235:Jake Elliott,57500,15190,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,922,manfppg,0.0004918355301987016,50,mvp_prob
51,41364-64401:Saquon Barkley,41364-29780:Zach Ertz,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-83074:Dallas Goedert,57500,14110,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,973,manfppg,0.0004918355301987016,51,mvp_prob
52,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-41235:Jake Elliott,58000,15150,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,994,manfppg,0.0004918355301987016,52,mvp_prob
53,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-11485:Golden Tate,41364-63819:Darius Slayton,41364-41235:Jake Elliott,58500,9276,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,734,manfppg,0.0004963271788763153,53,mvp_prob
54,41364-71806:Kaden Smith,41364-71845:Miles Sanders,41364-11485:Golden Tate,41364-27477:Sterling Shepard,41364-70324:Carson Wentz,59000,3994,13.5,15,15,10,18,0.0,0,0,0,25,0.0,0,0,0,10,71.5,25.0,10.0,752,manfppg,0.0010451505016722408,54,mvp_prob
55,41364-29780:Zach Ertz,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-63819:Darius Slayton,41364-70496:Aldrick Rosas,59500,8856,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,979,manfppg,0.0004963271788763153,55,mvp_prob
56,41364-29780:Zach Ertz,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-27477:Sterling Shepard,41364-70496:Aldrick Rosas,59500,13606,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,730,manfppg,0.0004963271788763153,56,mvp_prob
57,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-21980:Alshon Jeffery,41364-27477:Sterling Shepard,41364-71806:Kaden Smith,59000,10077,22.5,15,15,10,9,0.0,0,25,0,0,0.0,0,5,0,0,71.5,25.0,5.0,614,manfppg,0.000454793523740222,57,mvp_prob
58,41364-64401:Saquon Barkley,41364-71845:Miles Sanders,41364-6826:Eli Manning,41364-27477:Sterling Shepard,41364-41235:Jake Elliott,59500,14925,22.5,15,15,10,9,0.0,0,0,0,0,0.0,0,0,0,0,71.5,0.0,0.0,703,manfppg,0.0004918355301987016,58,mvp_prob
59,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-71845:Miles Sanders,41364-63819:Darius Slayton,41364-70496:Aldrick Rosas,59500,7546,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,524,manfppg,0.0004918355301987016,59,mvp_prob
60,41364-6826:Eli Manning,41364-71845:Miles Sanders,41364-21980:Alshon Jeffery,41364-27477:Sterling Shepard,41364-41235:Jake Elliott,60000,10062,22.5,15,15,10,9,0.0,0,25,0,0,0.0,0,5,0,0,71.5,25.0,5.0,539,manfppg,0.000454793523740222,60,mvp_prob
61,41364-64401:Saquon Barkley,41364-21980:Alshon Jeffery,41364-29780:Zach Ertz,41364-63819:Darius Slayton,41364-71806:Kaden Smith,59500,7301,22.5,15,15,10,9,0.0,25,0,0,0,0.0,5,0,0,0,71.5,25.0,5.0,541,manfppg,0.0004918355301987016,61,mvp_prob
