,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index
24413,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-27771:Cody Latimer,48500,24413
24414,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-71806:Kaden Smith,41364-6826:Eli Manning,48500,24414
24415,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-40434:Greg Ward,48500,24415
24416,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-40434:Greg Ward,48500,24416
24417,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,41364-40434:Greg Ward,48500,24417
24418,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-40434:Greg Ward,48500,24418
24419,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-6826:Eli Manning,48500,24419
24420,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-28157:Bennie Fowler III,48500,24420
24421,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-28157:Bennie Fowler III,48500,24421
24422,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,41364-28157:Bennie Fowler III,48500,24422
24423,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,48500,24423
24424,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-6826:Eli Manning,48500,24424
24425,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-27771:Cody Latimer,48000,24425
24426,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-27771:Cody Latimer,48000,24426
24427,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,41364-27771:Cody Latimer,48000,24427
24428,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-27771:Cody Latimer,48000,24428
24429,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-64907:JJ Arcega-Whiteside,41364-6826:Eli Manning,48000,24429
24430,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-40434:Greg Ward,41364-28157:Bennie Fowler III,47000,24430
24431,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-40434:Greg Ward,41364-28157:Bennie Fowler III,47000,24431
24432,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-40434:Greg Ward,41364-28157:Bennie Fowler III,47000,24432
24433,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,47000,24433
24434,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-40434:Greg Ward,41364-6826:Eli Manning,47000,24434
24435,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-40434:Greg Ward,41364-27771:Cody Latimer,46500,24435
24436,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-40434:Greg Ward,41364-27771:Cody Latimer,46500,24436
24437,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-40434:Greg Ward,41364-27771:Cody Latimer,46500,24437
24438,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-27771:Cody Latimer,46500,24438
24439,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-40434:Greg Ward,41364-6826:Eli Manning,46500,24439
24440,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-28157:Bennie Fowler III,41364-27771:Cody Latimer,46500,24440
24441,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-41235:Jake Elliott,41364-28157:Bennie Fowler III,41364-27771:Cody Latimer,46500,24441
24442,41364-41235:Jake Elliott,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,41364-27771:Cody Latimer,46500,24442
24443,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-6826:Eli Manning,41364-27771:Cody Latimer,46500,24443
24444,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-41235:Jake Elliott,41364-28157:Bennie Fowler III,41364-6826:Eli Manning,46500,24444
24445,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-71806:Kaden Smith,51000,24445
24446,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-71806:Kaden Smith,51000,24446
24447,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-71806:Kaden Smith,51000,24447
24448,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-71806:Kaden Smith,51000,24448
24449,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,51000,24449
24450,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-64907:JJ Arcega-Whiteside,50500,24450
24451,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-64907:JJ Arcega-Whiteside,50500,24451
24452,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-64907:JJ Arcega-Whiteside,50500,24452
24453,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,50500,24453
24454,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,50500,24454
24455,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-40434:Greg Ward,49000,24455
24456,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-40434:Greg Ward,49000,24456
24457,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-40434:Greg Ward,49000,24457
24458,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-40434:Greg Ward,49000,24458
24459,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,49000,24459
24460,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-28157:Bennie Fowler III,49000,24460
24461,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-28157:Bennie Fowler III,49000,24461
24462,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-28157:Bennie Fowler III,49000,24462
24463,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,49000,24463
24464,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,49000,24464
24465,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-27771:Cody Latimer,48500,24465
24466,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-27771:Cody Latimer,48500,24466
24467,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-70496:Aldrick Rosas,41364-27771:Cody Latimer,48500,24467
24468,41364-70496:Aldrick Rosas,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-27771:Cody Latimer,48500,24468
24469,41364-27771:Cody Latimer,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-70496:Aldrick Rosas,41364-6826:Eli Manning,48500,24469
24470,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-64907:JJ Arcega-Whiteside,50000,24470
24471,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-64907:JJ Arcega-Whiteside,50000,24471
24472,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-64907:JJ Arcega-Whiteside,50000,24472
24473,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-64907:JJ Arcega-Whiteside,50000,24473
24474,41364-64907:JJ Arcega-Whiteside,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-6826:Eli Manning,50000,24474
24475,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-40434:Greg Ward,48500,24475
24476,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-40434:Greg Ward,48500,24476
24477,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-40434:Greg Ward,48500,24477
24478,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-40434:Greg Ward,48500,24478
24479,41364-40434:Greg Ward,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-6826:Eli Manning,48500,24479
24480,41364-6826:Eli Manning,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-28157:Bennie Fowler III,48500,24480
24481,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-28157:Bennie Fowler III,48500,24481
24482,41364-83074:Dallas Goedert,41364-11485:Golden Tate,41364-6826:Eli Manning,41364-71806:Kaden Smith,41364-28157:Bennie Fowler III,48500,24482
24483,41364-71806:Kaden Smith,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-6826:Eli Manning,41364-28157:Bennie Fowler III,48500,24483
24484,41364-28157:Bennie Fowler III,41364-11485:Golden Tate,41364-83074:Dallas Goedert,41364-71806:Kaden Smith,41364-6826:Eli Manning,48500,24484
