,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo
23,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-69956:Michael Gallup,41200-79974:Tarik Cohen,41200-6641:Jason Witten,58000,3230,34.090000155,16.25833384,12.20999985,7.549999872999999,6.983333588,34.090000155,16.25833384,12.20999985,7.549999872999999,6.983333588,34.090000155,16.25833384,12.20999985,7.549999872999999,6.983333588,77.09166730599999,77.09166730599999,77.09166730599999
24,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-26458:Tavon Austin,60000,396,20.02363587,22.72666677,14.25833384,12.20999985,2.660000038,20.02363587,22.72666677,14.25833384,12.20999985,2.660000038,20.02363587,22.72666677,14.25833384,12.20999985,2.660000038,71.878636368,71.878636368,71.878636368
25,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,60000,1056,20.02363587,22.72666677,12.20999985,9.227272727,7.549999872999999,20.02363587,22.72666677,12.20999985,9.227272727,7.549999872999999,20.02363587,22.72666677,12.20999985,9.227272727,7.549999872999999,71.73757509,71.73757509,71.73757509
26,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-63759:Tony Pollard,60000,456,20.02363587,22.72666677,14.25833384,9.227272727,5.036363775,20.02363587,22.72666677,14.25833384,9.227272727,5.036363775,20.02363587,22.72666677,14.25833384,9.227272727,5.036363775,71.272272982,71.272272982,71.272272982
27,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-27527:Blake Jarwin,59500,461,20.02363587,22.72666677,14.25833384,9.227272727,5.00909077,20.02363587,22.72666677,14.25833384,9.227272727,5.00909077,20.02363587,22.72666677,14.25833384,9.227272727,5.00909077,71.244999977,71.244999977,71.244999977
28,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-30733:Cordarrelle Patterson,60000,391,20.02363587,22.72666677,14.25833384,12.20999985,1.9727273419999998,20.02363587,22.72666677,14.25833384,12.20999985,1.9727273419999998,20.02363587,22.72666677,14.25833384,12.20999985,1.9727273419999998,71.191363672,71.191363672,71.191363672
29,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-6641:Jason Witten,59000,1066,20.02363587,22.72666677,12.20999985,9.227272727,6.983333588,20.02363587,22.72666677,12.20999985,9.227272727,6.983333588,20.02363587,22.72666677,12.20999985,9.227272727,6.983333588,71.170908805,71.170908805,71.170908805
30,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-79974:Tarik Cohen,41200-104421:Jesper Horsted,60000,31,20.02363587,22.72666677,16.25833384,7.549999872999999,4.599999905,20.02363587,22.72666677,16.25833384,7.549999872999999,4.599999905,20.02363587,22.72666677,16.25833384,7.549999872999999,4.599999905,71.158636258,71.158636258,71.158636258
31,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-6641:Jason Witten,41200-63759:Tony Pollard,60000,76,20.02363587,22.72666677,16.25833384,6.983333588,5.036363775,20.02363587,22.72666677,16.25833384,6.983333588,5.036363775,20.02363587,22.72666677,16.25833384,6.983333588,5.036363775,71.028333843,71.028333843,71.028333843
32,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-6641:Jason Witten,41200-27527:Blake Jarwin,59500,81,20.02363587,22.72666677,16.25833384,6.983333588,5.00909077,20.02363587,22.72666677,16.25833384,6.983333588,5.00909077,20.02363587,22.72666677,16.25833384,6.983333588,5.00909077,71.001060838,71.001060838,71.001060838
33,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-14257:Randall Cobb,41200-26458:Tavon Austin,60000,21,20.02363587,22.72666677,16.25833384,9.227272727,2.660000038,20.02363587,22.72666677,16.25833384,9.227272727,2.660000038,20.02363587,22.72666677,16.25833384,9.227272727,2.660000038,70.89590924500001,70.89590924500001,70.89590924500001
